Frame #,Angle
0,1.1066667
1,1.115
2,0.94
3,0.758
4,0.976
5,0.946
6,1.078
7,1.068
8,1.628
9,2.286
10,2.714
11,2.426
12,2.64
13,2.206
14,1.7440001
15,1.7
16,1.792
17,1.764
18,1.564
19,1.244
20,1.164
21,1.314
22,1.22
23,1.412
24,1.62
25,1.664
26,1.676
27,1.852
28,1.7360001
29,1.634
30,1.2279999
31,1.2459999
32,1.3579999
33,1.258
34,1.336
35,1.534
36,1.442
37,1.362
38,1.4760001
39,1.5320001
40,1.468
41,1.544
42,1.2360001
43,1.218
44,1.43
45,1.612
46,1.714
47,2.096
48,1.962
49,1.566
50,1.562
51,1.204
52,0.812
53,1.724
54,2.822
55,3.902
56,5.114
57,6.848
58,7.212
59,7.094
60,7.374
61,8.2560005
62,9.33
63,10.946
64,12.91
65,13.724
66,14.43
67,14.45
68,14.092
69,13.598
70,12.914
71,11.064
72,9.384
73,7.106
74,4.646
75,3.208
76,3.3500001
77,3.428
78,4.148
79,6.182
80,9.238
81,12.634
82,16.14
83,19.668
84,22.392
85,23.904
86,24.303999
87,24.512
88,24.789999
89,25.24
90,24.921999
91,24.866
92,24.096
93,23.394
94,21.974
95,21.546
96,18.826
97,15.498
98,12.712
99,10.544
100,7.73
101,6.262
102,6.7799997
103,6.128
104,4.978
105,4.004
106,4.7980003
107,5.078
108,6.146
109,7.9760003
110,10.576
111,12.226
112,13.626
113,15.366
114,17.74
115,18.558
116,19.404
117,20.712
118,21.414
119,20.448
120,19.862
121,18.902
122,16.524
123,13.408
124,10.02
125,7.0499997
126,4.84
127,5.208
128,7.1099997
129,11.17
130,15.3220005
131,19.286
132,22.424
133,23.688
134,22.706
135,21.508
136,19.082
137,15.38
138,12.7699995
139,10.74
140,9.996
141,9.53
142,8.462
143,6.868
144,5.58
145,3.496
146,1.658
147,1.7179999
148,2.524
149,3.54
150,5.332
151,7.586
152,9.264
153,11.964
154,13.832
155,15.074
156,16.474
157,17.574
158,18.092001
159,18.432001
160,17.762001
161,16.624
162,16.094
163,15.196
164,14.572
165,13.309999
166,12.974
167,11.444
168,8.354
169,5.63
170,6.3980002
171,7.836
172,11.254001
173,15.974
174,20.738
175,23.376001
176,24.210001
177,23.696001
178,22.552
179,22.372
180,21.066
181,19.7
182,17.948
183,15.176
184,11.504
185,9.5199995
186,6.452
187,3.946
188,3.1399999
189,2.94
190,2.29
191,3.826
192,5.308
193,7.276
194,8.832
195,11.066
196,12.832
197,14.578
198,15.852
199,17.63
200,18.368
201,20.436
202,20.874
203,21.864
204,21.714
205,21.37
206,19.89
207,20.16
