Frame #,Angle
0,16.276667
1,15.5975
2,15.384
3,14.76
4,14.7
5,13.936
6,14.432
7,14.618
8,15.824
9,16.156
10,17.29
11,18.022
12,18.984001
13,18.094
14,18.004
15,16.822
16,15.1779995
17,13.884
18,13.191999
19,11.826
20,11.314
21,11.342
22,10.622
23,10.484
24,10.922
25,10.942
26,9.896
27,9.782
28,9.424
29,8.992001
30,8.034
31,7.828
32,6.968
33,5.9960003
34,5.272
35,5.114
36,4.966
37,4.562
38,4.48
39,4.568
40,4.418
41,4.658
42,4.876
43,4.872
44,4.624
45,4.556
46,4.25
47,4.36
48,4.226
49,4.558
50,4.398
51,4.906
52,5.952
53,8.114
54,10.502
55,13.132
56,15.854
57,19.19
58,21.224
59,22.85
60,25.54
61,28.002
62,28.602
63,28.6
64,28.82
65,27.892
66,25.686
67,24.112
68,23.346
69,22.358
70,21.23
71,19.998
72,18.464
73,17.436
74,15.622
75,13.976
76,12.33
77,10.992
78,8.382
79,6.09
80,4.59
81,3.552
82,2.174
83,2.896
84,7.828
85,12.234
86,17.012001
87,22.07
88,26.452
89,27.248001
90,28.016
91,28.92
92,28.906
93,28.566
94,28.954
95,29.498
96,29.984
97,30.466
98,30.12
99,29.202
100,26.968
101,24.544
102,22.768
103,21.464
104,19.586
105,18.718
106,17.806
107,18.274
108,18.924
109,18.95
110,19.936
111,21.034
112,20.264
113,19.498001
114,18.666
115,18.872
116,18.638
117,18.872
118,19.274
119,20.726
120,22.07
121,25.424
122,29.814
123,33.368
124,37.678
125,39.168
126,40.012
127,40.294
128,40.46
129,39.798
130,40.498
131,39.628
132,39.104
133,39.232
134,38.362
135,37.598
136,36.44
137,35.158
138,34.214
139,33.152
140,31.424
141,30.34
142,29.376
143,28.09
144,27.22
145,26.402
146,25.74
147,23.662
148,22.25
149,20.723999
150,19.633999
151,18.468
152,17.688
153,17.668
154,19.4
155,20.911999
156,25.216
157,30.178
158,29.01
159,29.576
160,30.49
161,28.828001
162,27.68
163,31.76
164,32.902
165,33.461998
166,34.722
167,33.848
168,31.556
169,29.439999
170,27.778
171,25.532
172,22.378
173,20.308
174,18.084
175,15.678
176,13.864
177,13.836
178,12.828
179,12.092
180,10.576
181,7.9379997
182,5.45
183,3.82
184,2.578
185,2.02
186,2.026
187,2.426
188,4.09
189,5.116
190,6.78
191,8.918
192,11.694
193,13.658
194,17.162
195,19.998
196,23.832
197,26.83
198,29.412
199,30.956
200,32.454
201,33.978
202,35.294
203,34.892
204,32.607998
205,31.07
206,29.088
207,25.376
208,24.016
209,23.436
210,21.944
211,19.436
212,19.528
213,19.212
214,18.152
215,17.906
216,17.038
217,15.184
218,12.68
219,10.366
220,7.614
221,5.414
222,3.398
223,2.478
224,2.278
225,2.01
226,4.1679997
227,5.632
228,8.186
229,10.864
230,14.5
231,15.554
232,17.752
233,19.466
234,20.844
235,21.842001
236,22.458
237,23.386
238,22.82
239,22.636
240,22.29
241,21.082
242,19.324
243,18.59
244,18.922
245,17.55
246,16.562
247,16.494
248,14.992001
249,13.116
250,12.16
251,12.096
252,10.898
253,10.194
254,9.152
255,7.3980002
256,5.6140003
257,4.038
258,3.308
259,1.71
260,3.1100001
261,4.69
262,6.4500003
263,7.5820003
264,10.736
265,12.93
266,15.982
267,19.666
268,22.964
269,24.586
270,25.501999
271,25.07
272,23.466
273,22.772
274,21.924
275,19.704
276,18.604
277,16.966
278,14.3
279,12.738
280,11.75
281,10.124
282,10.259999
283,8.547999
284,7.06
285,5.39
286,3.984
287,2.0
288,2.016
289,1.888
290,2.6859999
291,3.46
292,4.1280003
293,4.9900002
294,5.3933334
