Frame #,Angle
0,3.4066668
1,4.045
2,4.3380003
3,4.51
4,4.728
5,5.008
6,4.48
7,3.918
8,3.532
9,3.396
10,3.0939999
11,3.152
12,3.3279998
13,3.472
14,3.488
15,3.5939999
16,2.966
17,2.706
18,2.072
19,2.2419999
20,2.174
21,2.644
22,2.402
23,2.43
24,1.882
25,1.516
26,1.348
27,1.53
28,1.504
29,1.116
30,1.274
31,1.076
32,1.13
33,1.322
34,1.592
35,1.75
36,2.218
37,1.91
38,2.134
39,2.384
40,2.83
41,2.9780002
42,4.104
43,4.436
44,5.05
45,5.582
46,5.752
47,5.6
48,5.192
49,5.08
50,4.472
51,4.012
52,3.708
53,3.276
54,2.666
55,2.036
56,2.016
57,2.27
58,2.874
59,2.788
60,3.64
61,3.81
62,4.472
63,5.376
64,6.67
65,8.266
66,9.66
67,9.066
68,8.976
69,9.442
70,9.128
71,9.728
72,10.524
73,10.77
74,11.81
75,11.984
76,10.848
77,10.274
78,9.64
79,7.216
80,6.198
81,6.186
82,6.362
83,6.792
84,6.342
85,5.124
86,3.87
87,2.604
88,1.358
89,1.87
90,2.218
91,2.118
92,2.276
93,3.2719998
94,2.666
95,3.066
96,5.3120003
97,7.256
98,8.792
99,11.0060005
100,12.148
101,11.438
102,11.282001
103,10.852
104,10.74
105,11.192
106,11.786
107,12.467999
108,13.076
109,12.586
110,11.056
111,9.366
112,7.538
113,4.696
114,3.56
115,2.688
116,2.1859999
117,2.83
118,3.724
119,3.644
120,3.718
121,4.4
122,3.808
123,3.288
124,3.174
125,3.7940001
126,3.466
127,3.308
128,4.982
129,6.814
130,8.428
131,10.764
132,12.08
133,13.282
134,14.714
135,15.882
136,16.308
137,16.682
138,15.422
139,14.252
140,12.618
141,11.088
142,9.606
143,8.654
144,8.04
145,7.308
146,6.362
147,6.174
148,5.588
149,3.852
150,2.6560001
151,2.47
152,1.526
153,1.348
154,1.704
155,2.462
156,2.574
157,2.996
158,4.596
159,6.32
160,8.01
161,9.87
162,11.514
163,12.0
164,12.262
165,12.198
166,12.232
167,13.05
168,12.954
169,12.634
170,13.104
171,13.57
172,10.718
173,8.36
174,6.2079997
175,3.302
176,0.918
177,1.9399999
178,2.008
179,2.5579998
180,2.7319999
181,2.406
182,2.166
183,2.95
184,2.376
185,2.162
186,2.402
187,2.592
188,2.3999999
189,3.8339999
190,5.198
191,6.442
192,8.142
193,11.308
194,13.1119995
195,14.378
196,14.116
197,13.914
198,11.93
199,10.562
200,10.162
201,10.632
202,11.648
203,12.416
204,12.58
205,11.052
206,9.836
207,6.438
208,4.742
209,3.892
210,4.6359997
211,5.894
212,8.234
213,10.552
214,13.42
215,14.93
216,15.691999
217,15.15
218,13.926
219,10.676001
220,7.816
221,5.204
222,3.834
223,3.488
224,4.69
225,6.976
226,9.188
227,10.354
228,11.01
229,11.294
230,10.92
231,10.918
232,12.024
233,12.49
234,12.838
235,12.4279995
236,12.2439995
237,11.254
238,9.4939995
239,6.916
240,5.862
241,3.9099998
242,2.494
243,2.322
244,3.79
245,5.36
246,7.84
247,8.752
248,9.468
249,10.088
250,9.941999
251,8.691999
252,8.838
253,9.0025
254,8.353333
