Frame #,Angle
0,18.14
1,18.675
2,18.798
3,18.432001
4,17.678001
5,17.544
6,16.374
7,15.304
8,15.37
9,15.566
10,15.758
11,16.754
12,17.652
13,17.524
14,17.61
15,17.76
16,16.692
17,15.362
18,14.632
19,12.918
20,11.578
21,9.804
22,9.17
23,7.972
24,8.3
25,8.224
26,9.191999
27,9.478
28,10.092
29,10.25
30,9.946
31,9.432
32,9.25
33,9.77
34,9.25
35,8.85
36,8.416
37,7.622
38,6.57
39,6.102
40,5.336
41,6.632
42,8.648
43,12.778
44,16.934
45,23.09
46,26.836
47,27.924
48,23.864
49,19.726
50,16.026001
51,12.556
52,13.198
53,17.156
54,20.039999
55,23.538
56,27.608
57,28.208
58,30.12
59,29.220001
60,28.105999
61,27.098
62,25.062
63,19.944
64,17.918
65,13.48
66,10.125999
67,7.786
68,8.8880005
69,10.524
70,11.456
71,11.136001
72,11.242001
73,8.320001
74,6.0480003
75,5.218
76,5.358
77,7.88
78,12.98
79,17.994
80,21.13
81,23.372
82,22.964
83,18.812
84,17.028
85,16.355999
86,15.665999
87,16.156
88,18.276
89,18.897999
90,20.23
91,21.956
92,24.49
93,26.966
94,26.696
95,25.712
96,23.685999
97,19.914
98,15.926
99,12.464
100,9.676
101,7.81
102,8.958
103,10.504
104,12.69
105,13.507999
106,13.248
107,11.217999
108,8.492
109,6.482
110,5.05
111,6.458
112,10.3220005
113,16.237999
114,21.91
115,26.529999
116,29.34
117,25.13
118,20.494
119,16.52
120,14.056
121,11.702
122,15.264
123,17.82
124,19.894001
125,23.242
126,25.906
127,27.146
128,28.435999
129,28.952
130,26.43
131,25.134
132,22.442
133,19.724
134,17.032
135,14.588
136,10.966001
137,9.682
138,9.424
139,9.93
140,10.51
141,10.6779995
142,9.914
143,7.82
144,5.58
145,5.192
146,8.076
147,12.874001
148,17.418
149,23.242
150,28.716
151,28.626001
152,23.952
153,20.266
154,15.938001
155,12.148
156,11.4279995
157,14.436
158,18.322
159,22.12
160,24.723999
161,27.262
162,28.362
163,27.592
164,26.05
165,24.862
166,23.25
167,21.174
168,18.654
169,16.452
170,14.228
171,12.572
172,12.0859995
173,12.818
174,13.606
175,14.320001
176,14.472
177,13.318
178,10.872
179,7.852
180,5.052
181,2.108
182,1.75
183,4.7279997
184,9.429999
185,14.952
186,20.966
187,24.664
188,24.33
189,23.812
190,20.228
191,17.42
192,15.714
193,16.602
194,16.136
195,18.93
196,22.16
197,25.8
198,28.334
199,30.480001
200,31.974
201,32.152
202,31.094
203,29.234001
204,27.478
205,24.634
206,22.238
207,19.66
208,17.284
209,16.694
210,17.46
211,18.166
212,18.288
213,19.704
214,19.716
215,18.068
216,16.746
217,14.838
218,12.6380005
219,10.4140005
220,8.874001
221,6.704
222,7.06
223,7.514
224,7.8125
225,8.5199995
