Frame #,Angle
0,9.66
1,9.225
2,8.836
3,8.476
4,7.6660004
5,7.3780003
6,7.4040003
7,6.946
8,6.738
9,6.758
10,6.632
11,6.356
12,6.534
13,6.402
14,6.636
15,7.154
16,7.024
17,6.912
18,6.858
19,6.462
20,5.728
21,6.002
22,6.1419997
23,6.608
24,6.4979997
25,6.5899997
26,6.42
27,6.468
28,6.192
29,6.896
30,7.078
31,7.086
32,7.294
33,8.03
34,7.744
35,7.506
36,7.482
37,8.09
38,7.39
39,8.168
40,9.014
41,9.818
42,9.7439995
43,10.64
44,10.364
45,10.356
46,10.238
47,10.114
48,9.982
49,9.902
50,9.496
51,8.912
52,9.09
53,9.236
54,9.205999
55,8.816
56,8.662
57,7.728
58,6.798
59,6.566
60,6.308
61,6.29
62,5.7580004
63,4.776
64,3.256
65,3.534
66,3.512
67,3.96
68,4.998
69,6.96
70,7.88
71,8.984
72,11.526
73,14.7
74,17.952
75,22.498001
76,26.87
77,30.024
78,30.564001
79,29.76
80,27.856
81,25.714
82,22.998
83,20.462
84,16.478
85,12.11
86,8.108
87,4.63
88,2.7640002
89,4.118
90,5.064
91,6.994
92,9.16
93,10.426001
94,10.17
95,10.482
96,11.599999
97,13.618
98,16.4
99,15.628
100,15.37
101,12.896
102,9.122
103,4.94
104,4.594
105,4.226
106,3.892
107,3.968
108,4.754
109,5.58
110,6.558
111,8.952
112,11.83
113,16.082
114,21.924
115,28.062
116,31.622002
117,32.734
118,31.202002
119,27.448
120,22.442001
121,18.552
122,16.04
123,13.128
124,9.794
125,6.914
126,4.2599998
127,3.192
128,3.27
129,4.792
130,7.358
131,8.658
132,9.996
133,10.664
134,10.898
135,11.506
136,13.6640005
137,13.84
138,14.262
139,14.694
140,12.518
141,10.326
142,7.994
143,6.49
144,4.85
145,4.624
146,4.3199997
147,5.378
148,6.698
149,8.85
150,12.782
151,17.828
152,23.686
153,30.388
154,36.994
155,38.27
156,37.672
157,34.168
158,28.146
159,22.924
160,20.105999
161,16.812
162,13.014
163,11.256
164,7.54
165,3.992
166,2.938
167,4.366
168,5.428
169,7.254
170,9.05
171,9.900001
172,11.242001
173,12.172
174,12.88
175,14.070001
176,14.264
177,12.972
178,11.118
179,9.5
180,6.966
181,5.874
182,5.534
183,5.69
184,5.348
185,6.756
186,8.318
187,10.684
188,14.206
189,19.464
190,25.42
191,29.605999
192,33.39
193,34.832
194,33.2
195,28.722
196,26.088
197,23.21
198,19.76
199,17.854
200,15.53
201,11.604
202,7.3320003
203,5.038
204,3.28
205,3.376
206,5.1280003
207,7.46
208,9.074
209,9.702
210,9.516
211,9.972
212,10.898
213,12.3880005
214,13.455
215,16.386667
