Frame #,Angle
0,26.93
1,27.1275
2,27.406
3,27.198
4,27.52
5,27.646
6,28.284
7,28.502
8,27.996
9,26.092001
10,25.018
11,24.338
12,23.116
13,24.52
14,26.566
15,28.398
16,28.118
17,28.692
18,28.496
19,27.474
20,26.95
21,26.488
22,26.116
23,24.496
24,24.692
25,24.286
26,24.964
27,25.5
28,25.456
29,24.498
30,23.444
31,21.956
32,20.214
33,18.714
34,17.556
35,17.156
36,16.118
37,14.622001
38,14.64
39,16.578001
40,18.212
41,19.836
42,23.0
43,24.104
44,23.778
45,23.01
46,22.688
47,21.782
48,22.53
49,22.444
50,22.794
51,22.916
52,22.768
53,22.728
54,22.132
55,21.86
56,20.948
57,17.496
58,15.938
59,15.396
60,15.226
61,15.882
62,18.33
63,18.016
64,17.182
65,15.24
66,13.332
67,12.87
68,11.828
69,12.294
70,12.566
71,13.598001
72,16.384
73,21.76
74,26.358
75,31.712
76,35.284
77,34.596
78,30.352
79,25.476
80,21.59
81,20.846
82,19.618
83,20.352
84,23.844
85,25.952
86,26.174
87,28.714
88,31.74
89,30.444
90,28.95
91,27.31
92,25.552
93,22.254
94,20.55
95,18.284
96,15.95
97,15.028
98,10.59
99,10.228001
100,10.364
101,10.838
102,10.028
103,14.05
104,14.218
105,15.702
106,18.286
107,22.723999
108,27.89
109,33.128
110,36.328
111,37.442
112,37.368
113,31.688
114,25.792
115,23.604
116,22.344
117,19.276
118,21.764
119,23.782
120,23.402
121,23.282
122,24.42
123,23.976
124,24.008
125,24.362
126,24.072
127,22.244
128,19.608
129,17.876
130,13.242001
131,10.63
132,9.774
133,10.862
134,9.964
135,11.782
136,13.021999
137,13.226
138,13.116
139,14.896
140,17.594
141,21.652
142,26.496
143,32.447998
144,37.042
145,40.45
146,39.778
147,36.284
148,30.242
149,25.752
150,23.422
151,22.036
152,22.788
153,24.87
154,26.01
155,26.052
156,25.362
157,25.504
158,25.774
159,26.33
160,25.038
161,33.545998
162,32.588
163,29.59
164,27.27
165,24.666
166,13.568
167,14.004
168,14.39
169,15.528
170,20.288
171,21.146
172,19.694
173,20.15
174,18.918
175,15.4539995
176,18.504
177,21.192
178,26.786
179,30.932
180,33.136
181,32.767998
182,33.838
183,28.029999
184,23.888
185,21.552
186,20.378
187,17.914
188,19.794
189,21.992
190,23.216
191,24.058
192,24.612
193,24.858
194,23.884
195,23.474
196,22.53
197,22.636
198,21.826
199,20.652
200,19.032
201,16.19
202,12.312
203,9.286
204,7.8050003
205,6.1333337
