Frame #,Angle
0,4.94
1,5.09
2,5.376
3,5.828
4,6.272
5,6.38
6,6.442
7,5.692
8,5.4639997
9,4.764
10,4.304
11,3.902
12,4.134
13,4.1879997
14,4.59
15,4.86
16,4.638
17,4.9839997
18,4.842
19,4.894
20,4.926
21,5.42
22,5.256
23,5.124
24,4.794
25,4.72
26,4.688
27,4.664
28,4.6879997
29,4.674
30,4.72
31,4.822
32,4.674
33,5.076
34,5.39
35,5.622
36,5.578
37,5.666
38,5.428
39,5.78
40,7.41
41,9.428
42,11.564
43,13.832
44,16.418
45,17.176
46,18.966
47,19.66
48,20.33
49,20.272
50,19.704
51,17.798
52,16.994
53,14.982
54,13.494
55,13.454
56,12.974
57,13.254
58,14.196
59,12.916
60,11.694
61,9.924
62,7.0299997
63,4.784
64,4.0
65,2.578
66,1.878
67,2.832
68,3.02
69,4.236
70,6.652
71,9.752
72,11.418
73,12.792
74,12.674
75,10.02
76,7.044
77,5.33
78,3.654
79,2.192
80,2.812
81,4.1800003
82,6.056
83,9.1640005
84,12.624001
85,15.372
86,17.392
87,17.844
88,17.718
89,17.17
90,17.576
91,17.26
92,17.486
93,16.508
94,16.254
95,15.818
96,14.126
97,11.174
98,9.92
99,7.772
100,4.814
101,3.762
102,4.044
103,3.384
104,3.868
105,5.342
106,7.64
107,9.766
108,12.106
109,12.778
110,11.852
111,9.584
112,6.542
113,3.738
114,2.75
115,1.748
116,1.3
117,3.394
118,6.888
119,10.412
120,13.24
121,16.708
122,17.938
123,18.124
124,17.76
125,18.91
126,18.582
127,17.798
128,16.984001
129,15.122
130,13.978
131,13.966
132,14.518
133,12.391999
134,11.356
135,9.214
136,6.144
137,3.6920002
138,2.976
139,3.1420002
140,3.696
141,5.516
142,6.986
143,9.61
144,12.038
145,14.64
146,14.14
147,11.944
148,9.602
149,6.9040003
150,3.654
151,3.1560001
152,3.562
153,5.0820003
154,8.14
155,12.217999
156,15.462
157,18.713999
158,20.854
159,21.386
160,21.244
161,21.216
162,21.032
163,18.742
164,16.988
165,14.742001
166,13.780001
167,12.032001
168,12.844
169,13.002
170,12.228
171,10.484
172,8.746
173,6.0880003
174,3.26
175,1.73
176,0.57
177,1.198
178,2.568
179,4.4179997
180,5.8199997
181,6.7
182,7.664
183,6.68
184,5.126
185,4.426
186,3.652
187,2.382
188,2.574
189,2.986
190,2.756
191,3.686
192,5.46
193,7.278
194,8.1225
195,9.923333
